Movie_Name,Movie_rating,User_Score,Genre,ww_gross,d_gross,critic_rating1,user_rating1,critic_rating2,user_rating2,twitter_handles
Lights Out ,58,6.8,"Thriller, Fantasy, Horror ",148868835,67268835,58,68,76,62,LightsOutMovie
Snowden ,58,7,"Action, Biography, Drama, Thriller ",34301950,21587519,58,70,61,71,SnowdenTheMovie
A Hologram for the King ,58,5.7,"Drama, Comedy",11848058,4212494,58,57,73,55,hologramforking
The Finest Hours ,58,6.6,"Action, Adventure, Biography, Drama, History, Thriller",49252761,27569558,58,66,64,66,MichaelTougias ‏
The Greasy Strangler ,58,4.8,"Thriller, Horror, Comedy",67473,45878,58,48,63,51,
Whiskey Tango Foxtrot ,57,6.5,"Comedy, War",24915969,23083334,57,65,67,55,WTFTheMovie
Miss Peregrine's Home for Peculiar Children ,57,6.7,"Adventure, Drama, Fantasy, Family",296642834,87242834,57,67,63,60,MissPeregrinesHomeForPeculiarChildren
Band of Robbers ,57,6.7,"Adventure, Thriller, Comedy, Crime ",20555,20555,57,67,77,61,Band_of_Robbers
War Dogs ,57,7.1,"Drama, Thriller, Comedy, Crime, War",83034523,43034523,57,71,59,69,wardogsmovie
Genius ,56,6.6,"Biography, Drama",5653176,1361045,56,66,51,45,
Race ,56,6.5,"Biography, Drama, Sport",22178125,19115191,56,65,61,77,RaceMovie
A Tale of Love and Darkness ,55,5.5,"Biography, Drama, History",658848,572212,55,55,67,50,
Almost Christmas ,55,5.1,"Drama, Comedy ",42493506,42065185,55,51,51,65,AlmostChristmas
The Fundamentals of Caring ,55,8.2,"Drama, Comedy ",2199,2199,55,82,77,83,
Anesthesia ,55,5.8,"Drama, Thriller",26799,26799,55,58,26,50,Robburnett1
A Street Cat Named Bob ,54,8.1,"Biography, Drama, Comedy, Family",8370555,82703,54,81,76,77,
Hands of Stone ,54,5.9,"Action, Biography, Drama, Sport ",5032013,4712792,54,59,45,52,HandsofStoneMov
Eddie the Eagle ,54,7.2,"Biography, Drama, History, Sport, Comedy",45121177,15789389,54,72,80,82,EddieEagleMovie
The Magnificent Seven ,54,6.4,"Action, Adventure, Western",159767790,93432655,54,64,63,72,AdamBaldwin
The Program ,53,6.2,"Biography, Drama, Sport ",1579261,1579261,53,62,61,42,ProgramTheMovie
Knight of Cups ,53,6.4,"Drama, Romance ",1075486,566006,53,64,45,37,knightofcupsmov
Monster Hunt ,53,3.6,"Action, Fantasy, Comedy",386152042,32766,53,36,63,47,
Free State of Jones ,53,7,"Action, Biography, Drama, History, War",23152062,20810036,53,70,46,63,FreeStateMovie
The Hollars ,53,7,"Drama, Comedy, Romance, Family ",1139502,1016985,53,70,44,58,
Mr. Right ,52,6.5,"Action, Comedy, Romance ",831881,34694,52,65,43,53,MrRightMovie
Central Intelligence ,52,6.5,"Action, Comedy, Crime ",217196811,127440871,52,65,70,61,CentralIntel
X-Men: Apocalypse ,52,6.6,"Action, Adventure, Sci-Fi, Fantasy ",542742489,155442489,52,66,48,66,XMenMovies
Triple 9 ,52,6.2,"Action, Drama, Thriller, Crime",25943792,12639297,52,62,53,42,Triple9Movie
The Neon Demon ,51,6.9,"Drama, Thriller, Horror ",3559803,1333124,51,69,58,51,tnd_film
How to Be Single ,51,6,"Comedy, Romance ",99595932,46843513,51,60,47,47,
Desierto ,51,4.8,"Action, Drama, Thriller, Horror",4940419,2002036,51,48,61,47,desierto
Risen ,51,6.9,"Action, Adventure, Drama, Mystery",46164361,36880033,51,69,52,69,RisenMovie
The Accountant ,51,7.4,"Action, Drama, Thriller, Crime ",153060045,86260045,51,74,52,77,accountantmovie
Mike and Dave Need Wedding Dates ,51,6,"Adventure, Comedy, Romance",75909673,46009673,51,60,35,51,
A Kind of Murder ,50,5.7,"Drama, Thriller ",83401,2915,50,57,36,13,
Demolition ,49,7.2,"Drama, Comedy",4124315,1978592,49,72,52,53,
Jane Got a Gun ,49,5.4,"Action, Drama, Western ",2976636,1513793,49,54,41,37,janegotagunfilm ‏
Live by Night ,49,7.1,"Drama, Crime",21778555,10378555,49,71,35,42,livebynight
13 Hours: The Secret Soldiers of Benghazi ,48,6.8,"Action, Drama, Thriller, War",69411370,52853219,48,68,50,82,13hours
The Girl on the Train ,48,6,"Drama, Mystery, Thriller",170327930,75395035,48,60,45,49,girlontrainfilm
Morgan ,48,5.6,"Sci-Fi, Drama, Mystery, Thriller, Horror",7315248,3915251,48,56,38,30,Morgan
Jack Reacher: Never Go Back ,47,5.6,"Action, Adventure, Drama, Mystery, Thriller, Crime ",160038407,58697076,47,56,38,42,JackReacher
The Dressmaker ,47,6.7,Drama,24041617,2022115,47,67,54,66,DressmakerMovie
I Saw the Light ,47,5,"Biography, Drama, Romance, Music, Musical",1767963,1646788,47,50,18,35,
Now You See Me 2 ,46,6.4,"Action, Adventure, Mystery, Thriller, Comedy, Crime",328675540,65075540,46,64,34,53,NYSMmovie
Kill Your Friends ,45,5.8,"Thriller, Comedy, Crime ",420091,420091,45,58,25,31,KillFriendsFilm
Pride and Prejudice and Zombies ,45,5.6,"Action, Thriller, Horror, Comedy, Romance ",16311335,10907291,45,56,43,44,PPZmovie
Miracles from Heaven ,44,5.8,Drama,73798720,61705123,44,58,43,81,MiraclesHeaven
Batman v Superman: Dawn of Justice ,44,7,"Action, Adventure, Sci-Fi, Fantasy ",868160194,330360194,44,70,27,63,BatmanvSuperman
American Pastoral ,43,5.8,"Drama, Crime",1715728,544098,43,58,22,29,AmPastoralMovie
Equals ,43,6.4,"Sci-Fi, Drama, Romance ",2134557,33258,43,64,35,41,EqualsTheMovie
Office Christmas Party ,42,4.9,Comedy ,91342494,54767494,42,49,41,41,officexmasparty
Inferno ,42,5.5,"Action, Adventure, Sci-Fi, Drama, Mystery, Thriller, Crime ",219572877,34355263,42,55,22,36,infernothemovie
The Boy ,42,6.6,"Mystery, Thriller, Horror ",68220952,35819556,42,66,28,38,TheBoyMovie
The Other Side of the Door ,41,4.7,Horror ,9787624,3000342,41,47,37,29,
The Perfect Match ,41,5.1,"Comedy, Romance",9669521,9669521,41,51,27,44,
Passengers ,41,6.7,"Adventure, Sci-Fi, Drama, Romance",302212434,100014699,41,67,30,63,PassengersMovie
